# FILE : Model_Scaled.dat
# Contains parameterisations for imaginary frequency
# polarizability model
#    alpha(i\omega)=a_1/(\omega^2+O_1^2) + a_1/(\omega^2+O_1^2)
#
# If you use this data please cite
#   Gould T. and Bucko T., J. Chem. Theory Comput., 2016, 12 (8), pp 3603–3613
#
# =============================================================
# Z N C6 a1 O1 a2 O2
22 20      201   2.0655   0.2607  17.9345   4.7243
22 21      286   1.3256   0.1756  19.6744   3.4516
22 22     1203   2.1944   0.1481  19.8056   3.2022
22 23     5969   1.6410   0.0722  21.3590   1.6316
23 20     93.5   2.0251   0.3338  17.9749   5.7168
23 21      161   2.0861   0.2838  18.9139   5.0064
23 22      217   1.3656   0.1974  20.6344   3.7291
23 23      955   2.1868   0.1599  20.8132   3.4139
23 24     1044   2.2965   0.1612  21.7035   3.1643
24 21     61.8   1.1549   0.2732  19.8451   4.8373
24 22      110   1.2406   0.2354  20.7594   4.2194
24 23      236   1.3825   0.1944  21.6175   3.6066
24 24      709   1.5333   0.1422  22.4667   2.9290
24 25  1451996   0.0001   2.8531  24.9999   0.0686
25 22     61.6   2.0292   0.3865  19.9708   6.4832
25 23      105   2.1011   0.3305  20.8989   5.7337
25 24      132   1.3865   0.2375  22.6135   4.3845
25 25      635   2.1365   0.1808  22.8635   3.9456
25 26     5469   1.6449   0.0735  24.3551   2.2302
26 23     53.8   2.0271   0.4054  20.9729   6.7802
26 24     91.3   2.1004   0.3469  21.8996   6.0174
26 25      114   1.4022   0.2521  23.5978   4.6337
26 26      548   2.1353   0.1902  23.8647   4.1427
26 27    10956   1.1775   0.0467  25.8225   1.7148
27 24     45.6   2.0296   0.4293  21.9704   7.2467
27 25     77.3   2.1036   0.3675  22.8964   6.4570
27 26     95.8   1.4124   0.2685  24.5876   4.9791
27 27      461   2.1348   0.2014  24.8652   4.4716
27 28    10407   1.1587   0.0469  26.8413   1.8581
28 25     38.8   2.0291   0.4536  22.9709   7.7181
28 26     65.6   2.1117   0.3898  23.8883   6.8741
28 27     81.5   1.4139   0.2839  25.5861   5.3297
28 28      393   2.1268   0.2121  25.8732   4.7850
28 29     9655   1.1658   0.0482  27.8342   2.0234
29 26     19.9   1.2071   0.4190  24.7929   7.2679
29 27     35.2   1.3095   0.3627  25.6905   6.4322
29 28     75.9   1.4125   0.2909  26.5875   5.5337
29 29      264   1.3938   0.1861  27.6062   4.3864
29 30     9444   1.1767   0.0488  28.8233   2.1407
30 27     27.0   2.0388   0.5153  24.9612   8.8483
30 28     45.6   2.1232   0.4429  25.8768   7.9150
30 29     91.7   2.1806   0.3545  26.8194   6.8787
30 30      276   2.1031   0.2368  27.8969   5.5499
30 31    17793   0.7625   0.0305  30.2375   1.0822
31 28     71.8   2.1617   0.3831  25.8383   7.1449
31 29     71.8   2.1712   0.3839  26.8288   7.3601
31 30     71.8   2.1803   0.3847  27.8197   7.5738
31 31      456   2.3789   0.2156  28.6211   5.6285
31 32    11286   1.1455   0.0457  30.8545   1.6603
32 29     33.4   2.1218   0.4922  26.8782   8.7545
32 30     33.4   2.1322   0.4933  27.8678   9.0081
32 31      108   2.9125   0.4015  28.0875   8.4117
32 32      365   3.3873   0.2924  28.6127   7.0292
32 33     2052   2.8164   0.1459  30.1836   3.6985
33 30     17.5   2.0543   0.6006  27.9457  10.5906
33 31     43.2   2.9466   0.5523  28.0534  10.2779
33 32      102   3.7618   0.4827  28.2382   9.7484
33 33      260   4.3165   0.3845  28.6835   8.5002
33 34     1092   3.4395   0.2062  30.5605   4.5045
34 31     26.2   2.8693   0.6451  28.1307  11.2188
34 32     52.0   3.7830   0.6093  28.2170  10.9803
34 33      104   4.6076   0.5462  28.3924  10.4845
34 34      233   5.0009   0.4400  28.9991   8.9124
34 35      755   4.2423   0.2681  30.7577   5.2673
35 32     28.6   3.6970   0.7371  28.3030  12.3380
35 33     50.6   4.6205   0.7002  28.3795  12.1240
35 34     91.2   5.3694   0.6324  28.6306  11.4591
35 35      187   5.7315   0.5188  29.2685   9.7717
35 36      497   5.1091   0.3486  30.8909   6.3150
36 33     25.9   4.5323   0.8684  28.4677  13.9859
36 34     41.7   5.4326   0.8304  28.5674  13.7366
36 35     71.9   6.1400   0.7480  28.8600  12.8988
36 36      136   6.4911   0.6261  29.5089  11.0857
37 34     17.3   5.3733   1.1094  28.6267  17.1217
37 35     27.2   6.2393   1.0488  28.7607  16.7090
37 36     49.1   6.9204   0.9190  29.0796  15.1742
37 37     4660   1.1214   0.0598  35.8786   3.0336
37 38    92239   1.5734   0.0274  36.4266   1.8423
38 35     18.5   6.2048   1.1908  28.7952  17.7901
38 36     26.9   7.0465   1.1396  28.9535  17.5745
38 37      790   1.2836   0.1209  35.7164   3.8511
38 38     3230   2.2204   0.1066  35.7796   3.7041
39 36     20.3   7.0336   1.2537  28.9664  18.2512
39 37      325   1.4135   0.1759  35.5865   4.5537
39 38     1017   2.4068   0.1670  35.5932   4.4986
39 39     2599   2.5170   0.1254  36.4830   3.5614
39 40     4677   5.6810   0.1736  34.3190   8.2284
40 37      154   1.5169   0.2386  35.4831   5.4867
40 38      430   2.5089   0.2303  35.4911   5.4438
40 39      574   1.9831   0.1821  37.0169   4.0671
40 40     1362   1.9616   0.1344  38.0384   3.3339
40 41     8428   2.0578   0.0746  38.9422   2.1626
41 38      251   2.5693   0.2814  35.4307   6.1522
41 39      404   2.7012   0.2484  36.2988   5.3211
41 40      512   2.1691   0.2023  37.8309   4.0835
41 41     1144   2.0105   0.1459  38.9895   3.3469
41 42     9228   2.1182   0.0735  39.8818   2.2664
42 39      133   1.9502   0.3001  37.0498   5.5807
42 40      223   2.1175   0.2664  37.8825   4.8871
42 41      424   2.2584   0.2230  38.7416   4.1959
42 42     1025   2.2510   0.1640  39.7490   3.4143
42 43     5791   1.5416   0.0706  41.4584   2.1128
43 40      133   2.8072   0.3725  37.1928   7.0398
43 41      210   2.8707   0.3249  38.1293   6.1337
43 42      246   2.2767   0.2710  39.7233   4.8596
43 43      939   2.6221   0.1842  40.3779   4.1380
43 44    13081   1.2836   0.0468  42.7164   2.0036
44 41      116   2.8568   0.3975  38.1432   7.1600
44 42      181   2.8859   0.3444  39.1141   6.2587
44 43      327   2.8259   0.2783  40.1741   5.3282
44 44      809   2.5712   0.1917  41.4288   4.2577
44 45    12663   1.2750   0.0470  43.7250   2.1255
45 42      101   2.8751   0.4198  39.1249   7.2960
45 43      158   2.8732   0.3615  40.1268   6.3989
45 44      284   2.8006   0.2912  41.1994   5.4747
45 45      708   2.5098   0.1977  42.4902   4.3922
45 46    12370   1.2681   0.0471  44.7319   2.2548
46 43     88.9   2.8709   0.4399  40.1291   7.4499
46 44      138   2.8601   0.3783  41.1399   6.5635
46 45      248   2.7614   0.3026  42.2386   5.6348
46 46      628   2.4453   0.2026  43.5547   4.5428
46 47    12172   1.2616   0.0471  45.7384   2.3874
47 44     38.7   2.1964   0.5091  41.8036   7.7447
47 45     61.6   2.1549   0.4289  42.8451   6.8055
47 46      115   1.9861   0.3264  44.0139   5.7788
47 47      341   1.5368   0.1870  45.4632   4.5003
47 48     9800   1.2563   0.0504  46.7437   2.6992
48 45     55.7   2.8436   0.5157  42.1564   8.4402
48 46     86.3   2.7994   0.4398  43.2006   7.4862
48 47      155   2.6628   0.3473  44.3372   6.4754
48 48      405   2.3227   0.2270  45.6773   5.2807
48 49    20233   0.9612   0.0338  48.0388   1.5017
49 46     45.3   2.8163   0.5513  43.1837   8.9429
49 47     70.1   2.7589   0.4684  44.2411   7.9589
49 48      127   2.6100   0.3678  45.3900   6.9107
49 49      643   2.6699   0.2099  46.3301   5.5424
49 50     9625   1.5421   0.0585  48.4579   2.4923
50 47     54.4   2.7841   0.5166  44.2159   8.3437
50 48     84.2   2.7163   0.4374  45.2837   7.4499
50 49      237   3.3356   0.3438  45.6644   6.8874
50 50      715   3.7426   0.2524  46.2574   6.0360
50 51     3270   3.3030   0.1390  47.6970   4.0734
51 48     44.5   2.7486   0.5496  45.2514   8.8727
51 49     98.8   3.5416   0.4836  45.4584   8.5046
51 50      215   4.2698   0.4150  45.7302   8.0546
51 51      504   4.7705   0.3326  46.2295   7.2738
51 52     1774   4.0067   0.1944  47.9933   4.8782
52 49     65.2   3.6097   0.5666  45.3903   9.2444
52 50      122   4.4688   0.5214  45.5312   8.9842
52 51      230   5.2253   0.4621  45.7747   8.5797
52 52      471   5.5653   0.3768  46.4347   7.6354
52 53     1329   4.8956   0.2448  48.1044   5.4453
53 50     71.3   4.5436   0.6338  45.4564  10.1325
53 51      121   5.4206   0.5909  45.5794   9.8935
53 52      205   6.1056   0.5318  45.8944   9.4128
53 53      389   6.4123   0.4412  46.5877   8.3802
53 54      925   5.8609   0.3114  48.1391   6.2987
54 51     67.6   5.5036   0.7274  45.4964  11.3585
54 52      104   6.3624   0.6880  45.6376  11.1200
54 53      170   6.9992   0.6185  46.0008  10.5190
54 54      302   7.2968   0.5230  46.7032   9.4043
55 52     38.6   6.4954   0.9739  45.5046  14.8134
55 53     58.1   7.3059   0.9131  45.6941  14.4205
55 54      129   7.9165   0.7342  46.0835  12.1313
55 55     6657   1.1667   0.0546  53.8333   3.2491
55 56   118892   1.6049   0.0255  54.3951   2.1631
56 53     50.0   7.4671   0.9768  45.5329  14.5625
56 54     71.8   8.2468   0.9200  45.7532  14.2144
56 55     1296   1.4022   0.1091  53.5978   3.9825
56 56     5543   2.3372   0.0923  53.6628   3.6990
57 54     34.7   8.4338   1.1924  45.5662  17.5054
57 55      404   1.6129   0.1795  53.3871   5.2051
57 56     1177   2.6011   0.1680  53.3989   5.1362
57 57     3729   2.3275   0.1051  54.6725   4.2194
57 58    19310   1.5892   0.0470  56.4108   2.4840
58 55      197   1.7948   0.2475  53.2052   6.2406
58 56      513   2.7751   0.2332  53.2249   6.1655
58 57     1081   2.5862   0.1722  54.4138   5.3163
58 58     3480   2.3107   0.1070  55.6893   4.3811
