# FILE : Model.dat
# Contains parameterisations for imaginary frequency
# polarizability model
#    alpha(i\omega)=a_1/(\omega^2+O_1^2) + a_1/(\omega^2+O_1^2)
#
# If you use this data please cite
#   Gould T. and Bucko T., J. Chem. Theory Comput., 2016, 12 (8), pp 3603–3613
#
# =============================================================
# Z N C6 a1 O1 a2 O2
22 20      225   2.0655   0.2509  17.9345   4.5461
22 21      321   1.3256   0.1690  19.6744   3.3214
22 22     1350   2.1944   0.1425  19.8056   3.0814
22 23     6692   1.6410   0.0695  21.3590   1.5701
23 20      106   2.0251   0.3200  17.9749   5.4804
23 21      182   2.0861   0.2721  18.9139   4.7993
23 22      247   1.3656   0.1892  20.6344   3.5749
23 23     1084   2.1868   0.1533  20.8132   3.2727
23 24     1185   2.2965   0.1545  21.7035   3.0334
24 21     51.1   1.1549   0.2912  19.8451   5.1555
24 22     91.1   1.2406   0.2509  20.7594   4.4969
24 23      195   1.3825   0.2072  21.6175   3.8438
24 24      585   1.5333   0.1516  22.4667   3.1217
24 25  1200012   0.0001   3.0408  24.9999   0.0731
25 22     73.8   2.0292   0.3640  19.9708   6.1054
25 23      126   2.1011   0.3112  20.8989   5.3996
25 24      158   1.3865   0.2237  22.6135   4.1290
25 25      760   2.1365   0.1703  22.8635   3.7157
25 26     6553   1.6449   0.0692  24.3551   2.1002
26 23     62.6   2.0271   0.3853  20.9729   6.4442
26 24      106   2.1004   0.3297  21.8996   5.7192
26 25      132   1.4022   0.2396  23.5978   4.4041
26 26      638   2.1353   0.1808  23.8647   3.9374
26 27    12749   1.1775   0.0444  25.8225   1.6298
27 24     53.6   2.0296   0.4068  21.9704   6.8670
27 25     90.8   2.1036   0.3482  22.8964   6.1187
27 26      113   1.4124   0.2544  24.5876   4.7182
27 27      543   2.1348   0.1908  24.8652   4.2373
27 28    12264   1.1587   0.0444  26.8413   1.7607
28 25     46.3   2.0291   0.4279  22.9709   7.2809
28 26     78.1   2.1117   0.3677  23.8883   6.4847
28 27     97.2   1.4139   0.2678  25.5861   5.0278
28 28      468   2.1268   0.2001  25.8732   4.5140
28 29    11478   1.1658   0.0455  27.8342   1.9088
29 26     22.0   1.2071   0.4051  24.7929   7.0276
29 27     38.9   1.3095   0.3507  25.6905   6.2195
29 28     84.0   1.4125   0.2813  26.5875   5.3507
29 29      292   1.3938   0.1799  27.6062   4.2413
29 30    10438   1.1767   0.0472  28.8233   2.0699
30 27     35.1   2.0388   0.4724  24.9612   8.1110
30 28     59.1   2.1232   0.4060  25.8768   7.2554
30 29      119   2.1806   0.3250  26.8194   6.3055
30 30      359   2.1031   0.2171  27.8969   5.0874
30 31    23008   0.7625   0.0280  30.2375   0.9920
31 28      105   2.1617   0.3380  25.8383   6.3043
31 29      105   2.1712   0.3387  26.8288   6.4942
31 30      105   2.1803   0.3394  27.8197   6.6828
31 31      664   2.3789   0.1902  28.6211   4.9663
31 32    16456   1.1455   0.0403  30.8545   1.4650
32 29     45.9   2.1218   0.4429  26.8782   7.8775
32 30     45.9   2.1322   0.4439  27.8678   8.1057
32 31      148   2.9125   0.3613  28.0875   7.5690
32 32      501   3.3873   0.2631  28.6127   6.3250
32 33     2815   2.8164   0.1313  30.1836   3.3280
33 30     24.2   2.0543   0.5393  27.9457   9.5091
33 31     59.7   2.9466   0.4959  28.0534   9.2283
33 32      140   3.7618   0.4334  28.2382   8.7529
33 33      359   4.3165   0.3452  28.6835   7.6322
33 34     1509   3.4395   0.1851  30.5605   4.0445
34 31     30.3   2.8693   0.6149  28.1307  10.6943
34 32     60.1   3.7830   0.5808  28.2170  10.4670
34 33      121   4.6076   0.5207  28.3924   9.9944
34 34      269   5.0009   0.4194  28.9991   8.4958
34 35      872   4.2423   0.2556  30.7577   5.0211
35 32     31.2   3.6970   0.7158  28.3030  11.9810
35 33     55.3   4.6205   0.6799  28.3795  11.7732
35 34     99.6   5.3694   0.6141  28.6306  11.1275
35 35      204   5.7315   0.5038  29.2685   9.4889
35 36      543   5.1091   0.3385  30.8909   6.1323
36 33     29.7   4.5323   0.8292  28.4677  13.3541
36 34     47.9   5.4326   0.7929  28.5674  13.1161
36 35     82.6   6.1400   0.7142  28.8600  12.3161
36 36      157   6.4911   0.5978  29.5089  10.5849
37 34     26.5   5.3733   0.9621  28.6267  14.8483
37 35     41.7   6.2393   0.9095  28.7607  14.4904
37 36     68.7   6.9204   0.8221  29.0796  13.5739
37 37     7129   1.1214   0.0519  35.8786   2.6308
37 38   140756   1.5734   0.0238  36.4266   1.5977
38 35     23.8   6.2048   1.0958  28.7952  16.3714
38 36     36.2   7.0465   1.0322  28.9535  15.9188
38 37     1008   1.2836   0.1115  35.7164   3.5510
38 38     4144   2.2204   0.0981  35.7796   3.4087
39 36     21.3   7.0336   1.2339  28.9664  17.9636
39 37      341   1.4135   0.1731  35.5865   4.4819
39 38     1066   2.4068   0.1644  35.5932   4.4277
39 39     2727   2.5170   0.1234  36.4830   3.5053
39 40     4902   5.6810   0.1709  34.3190   8.0987
40 37      158   1.5169   0.2366  35.4831   5.4413
40 38      441   2.5089   0.2284  35.4911   5.3988
40 39      588   1.9831   0.1806  37.0169   4.0335
40 40     1396   1.9616   0.1333  38.0384   3.3063
40 41     8635   2.0578   0.0740  38.9422   2.1447
41 38      225   2.5693   0.2916  35.4307   6.3747
41 39      363   2.7012   0.2574  36.2988   5.5136
41 40      460   2.1691   0.2096  37.8309   4.2312
41 41     1028   2.0105   0.1512  38.9895   3.4680
41 42     8282   2.1182   0.0762  39.8818   2.3484
42 39      116   1.9502   0.3142  37.0498   5.8426
42 40      194   2.1175   0.2789  37.8825   5.1165
42 41      369   2.2584   0.2335  38.7416   4.3928
42 42      893   2.2510   0.1717  39.7490   3.5745
42 43     5049   1.5416   0.0739  41.4584   2.2120
43 40      164   2.8072   0.3477  37.1928   6.5704
43 41      259   2.8707   0.3032  38.1293   5.7247
43 42      302   2.2767   0.2529  39.7233   4.5356
43 43     1155   2.6221   0.1719  40.3779   3.8621
43 44    16068   1.2836   0.0437  42.7164   1.8700
44 41      142   2.8568   0.3710  38.1432   6.6826
44 42      223   2.8859   0.3214  39.1141   5.8414
44 43      402   2.8259   0.2597  40.1741   4.9729
44 44      995   2.5712   0.1789  41.4288   3.9738
44 45    15542   1.2750   0.0439  43.7250   1.9838
45 42      124   2.8751   0.3918  39.1249   6.8095
45 43      194   2.8732   0.3374  40.1268   5.9722
45 44      349   2.8006   0.2718  41.1994   5.1097
45 45      871   2.5098   0.1845  42.4902   4.0993
45 46    15175   1.2681   0.0440  44.7319   2.1045
46 43      109   2.8709   0.4106  40.1291   6.9532
46 44      170   2.8601   0.3531  41.1399   6.1259
46 45      306   2.7614   0.2824  42.2386   5.2591
46 46      772   2.4453   0.1891  43.5547   4.2399
46 47    14932   1.2616   0.0440  45.7384   2.2282
47 44     58.3   2.1964   0.4442  41.8036   6.7573
47 45     92.8   2.1549   0.3742  42.8451   5.9378
47 46      174   1.9861   0.2848  44.0139   5.0420
47 47      513   1.5368   0.1632  45.4632   3.9265
47 48    14730   1.2563   0.0440  46.7437   2.3551
48 45     86.1   2.8436   0.4459  42.1564   7.2976
48 46      134   2.7994   0.3803  43.2006   6.4728
48 47      240   2.6628   0.3003  44.3372   5.5988
48 48      626   2.3227   0.1963  45.6773   4.5658
48 49    31375   0.9612   0.0292  48.0388   1.2984
49 46     77.0   2.8163   0.4617  43.1837   7.4896
49 47      119   2.7589   0.3923  44.2411   6.6655
49 48      216   2.6100   0.3080  45.3900   5.7876
49 49     1094   2.6699   0.1758  46.3301   4.6417
49 50    16380   1.5421   0.0490  48.4579   2.0873
50 47     69.2   2.7841   0.4766  44.2159   7.6979
50 48      107   2.7163   0.4035  45.2837   6.8733
50 49      302   3.3356   0.3172  45.6644   6.3543
50 50      910   3.7426   0.2329  46.2574   5.5688
50 51     4168   3.3030   0.1282  47.6970   3.7581
51 48     62.5   2.7486   0.4906  45.2514   7.9205
51 49      139   3.5416   0.4317  45.4584   7.5919
51 50      302   4.2698   0.3705  45.7302   7.1902
51 51      709   4.7705   0.2969  46.2295   6.4932
51 52     2495   4.0067   0.1735  47.9933   4.3547
52 49     77.7   3.6097   0.5345  45.3903   8.7200
52 50      145   4.4688   0.4918  45.5312   8.4745
52 51      274   5.2253   0.4359  45.7747   8.0930
52 52      562   5.5653   0.3554  46.4347   7.2022
52 53     1584   4.8956   0.2309  48.1044   5.1364
53 50     82.2   4.5436   0.6043  45.4564   9.6610
53 51      139   5.4206   0.5634  45.5794   9.4331
53 52      236   6.1056   0.5071  45.8944   8.9748
53 53      449   6.4123   0.4207  46.5877   7.9902
53 54     1068   5.8609   0.2969  48.1391   6.0056
54 51     81.2   5.5036   0.6844  45.4964  10.6865
54 52      125   6.3624   0.6473  45.6376  10.4621
54 53      204   6.9992   0.5819  46.0008   9.8967
54 54      363   7.2968   0.4921  46.7032   8.8479
